star_name,spectrograph,Teff,eTeff,logg,feh,efeh,vtur,instr_broad,fits_name
WASP-43,UVES,4652.0,201.0,4.32,-0.08,0.08,0.99,0.05392328528186371,WASP-43_UVES_107200_472_683_2020_rv.fits
CoRoT-28,SOPHIEHE,5414.0,64.0,3.9,0.23,0.05,0.8,0.13523434141821117,CoRoT-28_SOPHIE_HE_2020_rv.fits
gamma1Leo,NARVAL,4447.0,57.0,1.99,-0.38,0.03,1.66,0.10911021538461539,gamma1Leo_NARVAL_2014_rv.fits
EPIC249893012,HARPSS,5567.0,21.0,4.03,0.16,0.02,1.09,0.04649765217391305,EPIC249893012_HARPSS_115000_378_691_2020_rv.fits
HD38677,HARPSS,6194.0,25.0,4.43,0.23,0.02,1.26,0.04649952173913043,HD38677_HARPSS_115000_378_691_2020_rv.fits
HD111591,UVES,4863.0,36.0,2.78,-0.13,0.03,1.32,0.05392234158234156,HD111591_UVES_107200_472_683_2020_rv.fits
HD331093,SOPHIE,5544.0,33.0,4.2,0.17,0.03,0.81,0.07210626666666667,HD331093_SOPHIE_2020_rv.fits
HD150706,SOPHIEHR,5942.0,27.0,4.53,-0.04,0.02,1.02,0.07210950003261077,HD150706_SOPHIE_HR_2020_rv.fits
HD155193,SOPHIE,6239.0,36.0,4.26,0.05,0.01,1.36,0.07211013333333334,HD155193_SOPHIE_2020_rv.fits
24Sex,HARPSS,5014.0,26.0,3.22,-0.02,0.02,1.11,0.0464955652173913,24Sex_HARPSS_115000_378_691_2020_rv.fits
WASP-41,HARPSS,5508.0,18.0,4.4,0.04,0.01,1.02,0.04649843478260869,WASP-41_HARPSS_115000_378_691_2020_rv.fits
epsTau,HARPSS,4921.0,59.0,2.75,0.19,0.04,1.57,0.04649252173913044,epsTau_HARPSS_115000_378_691_2020_rv.fits
Qatar-2,UVES,4505.0,196.0,4.01,0.14,0.07,0.55,0.05392261894881762,Qatar-2_UVES_107200_472_683_2020_rv.fits
epsCrB,UVES,4484.0,71.0,2.06,-0.1,0.04,1.55,0.053924079474713886,epsCrB_UVES_45254_472_683_2020_rv.fits
TOI-1338,HARPSS,6095.0,23.0,4.36,0.0,0.02,1.32,0.04649817391304348,TOI-1338_HARPSS_115000_378_691_2020_rv.fits
K2-31,HARPSS,5413.0,30.0,4.37,0.16,0.02,1.06,0.04649752173913044,K2-31_HARPSS_115000_378_691_2020_rv.fits
TOI1062,HARPS,5328.0,56.0,4.55,0.13,0.04,0,0.04649837157820052,TOI1062_rv_rv.fits
K2-136,HARPSN,4494.0,136.0,4.33,0.01,0.09,0.35,0.04687851285871774,K2-136_HARPSN_2020_rv.fits
14And,SOPHIEHR,4745.0,38.0,2.52,-0.28,0.03,1.5,0.07211463850549485,14And_SOPHIE_HR_2020_rv.fits
WASP-65,HARPSN,6245.0,28.0,4.29,-0.09,0.02,1.55,0.04688009034061327,WASP-65_HARPSN_2020_rv.fits
BD-004475,SOPHIE,5040.0,112.0,4.25,-0.14,0.06,0.01,0.07210133333333334,BD-004475_SOPHIE_2020_rv.fits
HD68402,HARPSS,5907.0,23.0,4.41,0.26,0.02,1.11,0.04649708695652174,HD68402_HARPSS_115000_378_691_2020_rv.fits
alfAri,FEROS,4513.0,72.0,2.49,-0.16,0.03,1.5,0.13275590542532206,alfAri_FEROS_2011_rv.fits
WASP-129,HARPSS,5982.0,20.0,4.38,0.18,0.01,1.12,0.04649669565217392,WASP-129_HARPSS_115000_378_691_2020_rv.fits
WASP-122,UVES,5893.0,36.0,4.29,0.4,0.03,1.19,0.05392217664434704,WASP-122_UVES_107200_472_683_2020_rv.fits
WASP-37,UVES,5811.0,37.0,4.3,-0.21,0.03,0.65,0.05392294674968398,WASP-37_UVES_107200_472_683_2020_rv.fits
WASP-141,FEROS,6217.0,75.0,4.52,0.53,0.05,1.41,0.1327508333298409,WASP-141_FEROS_48000_352_921_2020_rv.fits
HIP109384,SOPHIEHR,5185.0,53.0,4.39,-0.32,0.04,0.28,0.07212392037602078,HIP109384_SOPHIE_HR_2020_rv.fits
Kepler-418,SOPHIEHE,5969.0,136.0,4.53,0.18,0.1,0.49,0.13521768641007959,Kepler-418_SOPHIE_HE_2020_rv.fits
K2-10,HARPSN,5592.0,20.0,4.4,-0.01,0.01,0.95,0.046885858817586834,K2-10_HARPSN_2020_rv.fits
HD35759,SOPHIEHR,6018.0,19.0,4.15,-0.01,0.01,1.22,0.07211454386791358,HD35759_SOPHIE_HR_2020_rv.fits
HIP65A,FEROS,4712.0,166.0,4.3,0.05,0.05,1.26,0.13274427082984086,HIP65A_FEROS_48000_352_921_2020_rv.fits
HD17674,SOPHIEHR,5909.0,16.0,4.36,-0.17,0.01,1.03,0.07210984593759771,HD17674_SOPHIE_HR_2020_rv.fits
WASP-140,HARPSS,5307.0,29.0,4.39,0.01,0.02,1.12,0.0464975652173913,WASP-140_HARPSS_115000_378_691_2020_rv.fits
HD134060,HARPSS,5965.0,17.0,4.45,0.14,0.01,1.12,0.04650034782608695,HD134060_HARPSS_115000_378_691_2020_rv.fits
HD109271,HARPSS,5794.0,17.0,4.27,0.11,0.01,1.11,0.04649717391304348,HD109271_HARPSS_115000_378_691_2020_rv.fits
WASP-64,FEROS,5766.0,62.0,4.35,0.3,0.05,1.17,0.13275645832984087,WASP-64_FEROS_48000_352_921_2020_rv.fits
HD202206AB,HARPSS,5766.0,62.0,4.35,0.3,0.05,1.17,0.04650130434782608,HD202206AB_HARPSS_115000_378_691_2020_rv.fits
HD28254,HARPSS,5664.0,35.0,4.12,0.06,0.02,0,0.046497826086956524,HD28254_HARPSS_115000_378_691_2020_rv.fits
HD42012,SOPHIEHR,5353.0,26.0,4.38,-0.14,0.02,0.63,0.07209591844259162,HD42012_SOPHIE_HR_2020_rv.fits
