star_name,spectrograph,Teff,eTeff,logg,feh,efeh,vtur,instr_broad,fits_name
Kepler-65, ESPADONS,6374.0,37,4.41,0.23,0.03,1.54,0.097,Kepler-65_ESPADONS_65000_2020_rv.fits
Kepler-74,SOPHIE_HE,6956.0,62,4.41,0.34,0.05,1.23,0.135,Kepler-74_SOPHIE_HE_2020_rv.fits
Kepler-89,SOPHIE_HE,6306.0,46,4.44,0.10,0.03,1.33,0.135,Kepler-89_SOPHIE_HE_2020_rv.fits
Kepler-90,SOPHIE_HE,6142.0,65,4.47,0.15,0.05,0.94,0.135,Kepler-90_SOPHIE_HE_2020_rv.fits
KPS-1,SOPHIE_HE,4963.0,222,4.17,0.22,0.14,0.24,0.135,KPS-1_SOPHIE_HE_2020_rv.fits
Pr0211,HARPS,5250.0,38,4.37,0.16,0.02,1.27,0.055,Pr0211_HARPSN_2020_rv.fits
TOI1298,SOPHIE,5889,43,4.39,0.49,0.03,1.17,0.072,TOI1298_rv_rv.fits
TOI-130,ESPRESSO,6203,64,4.50,-0.12,0.04,1.31,0.045,TOI-130_SINGLEHR11_ESPRESSO_2020_rv.fits
TOI-677,FEROS,6300.0,53,4.52,0.14,0.04,1.35,0.130,TOI-677_FEROS_48000_352_921_2020_rv.fits
TOI-813,HARPS,6187.0,34,4.26,0.22,0.03,1.62,0.055,TOI-813_HARPSS_115000_378_691_2020_rv.fits
WASP-103,FIES,6188.0,75,4.48,0.29,0.06,1.69,0.082,WASP-103_FIES_2017_rv.fits
WASP-113,SOPHIE_HE,6049.0,39,4.26,0.26,0.03,1.21,0.135,WASP-113_SOPHIE_HE_2020_rv.fits
WASP-114,FEROS,6110.0,76,4.44,0.51,0.06,1.36,0.130,WASP-114_FEROS_48000_352_921_2020_rv.fits
WASP-118,UVES,6662.0,68,4.38,0.29,0.05,1.76,0.061,WASP-118_UVES_107200_472_683_2020_rv.fits
WASP-120,UVES,6774.0,119,4.62,0.15,0.07,2.68,0.061,WASP-120_UVES_107200_472_683_2020_rv.fits
WASP-135,SOPHIE_HE,5052.0,77,4.11,0.17,0.05,0.85,0.135,WASP-135_SOPHIE_HE_2020_rv.fits
WASP-136,UVES,6770.0,60,4.57,0.18,0.04,2.21,0.061,WASP-136_UVES_107200_472_683_2020_rv.fits
WASP-138,UVES,6277.0,38,4.36,0.00,0.03,1.36,0.061,WASP-138_UVES_107200_472_683_2020_rv.fits
